name;president
Amazonas;Wolfredo Moreno
Anzoategui;Luis Traettino
Apure;Junar Estrada
Aragua;Mario Sciortino
Barinas;Jose Guevara
Bolivar;Pedro Barros
Carabobo;Juan Carlos Copa
Cojedes;Jose Luis Silva
Delta​​ Amacuro;Fredery Marcano
Distrito Capital;Elio Quintal
Falcon;Roberto Mesini
Guarico;Leonardo Castillo
Lara;Raul Alvarez
La Guaira;Jose Da Costa
Merida;Jesus Lobo
Miranda;Felix Adames
Monagas;Carlos Corcida ​​ 
Nueva Esparta;Acefalia
Portuguesa;Laydecker Navas
Sucre;Jesus Marquez
Tachira;Jairo Ramirez
Trujillo;Oscar Linares
Yaracuy;Alexis Fuentes
Zulia;Suying Olivares
